human,mouse
MT-ND1,mt-Nd1
MT-ND2,mt-Nd2
MT-CO1,mt-Co1
MT-CO2,mt-Co2
MT-ATP8,mt-Atp8
MT-ATP6,mt-Atp6
MT-CO3,mt-Co3
MT-ND3,mt-Nd3
MT-ND4L,mt-Nd4l
MT-ND4,mt-Nd4
MT-ND5,Gm4076
MT-ND5,mt-Nd5
MT-ND6,mt-Nd6
MT-CYB,mt-Cytb
MICU2,Micu2
PDS5B,Pds5b
GPR12,Gpr12
RCL1,Rcl1
JAGN1,Jagn1
MYOM1,Myom1
THEG,Theg
RBM17,Rbm17
TRIB2,Trib2
USP12,Usp12
FGF9,Fgf9
USP6NL,Usp6nl
MEGF6,Megf6
LAMA1,Lama1
PRMT5,Prmt5
IL17RE,Il17re
FAM84A,Fam84a
IGHV1OR15-1,Ighv1-39
IGHV1OR15-1,Ighv1-12
IGHV1OR15-1,Ighv14-3
IGHV1OR15-1,Ighv1-5
IGHV1OR15-1,Ighv1-42
IGHV1OR15-1,Ighv1-72
IGHV1OR15-1,Ighv1-62-2
IGHV1OR15-1,Ighv1-4
IGHV1OR15-1,Ighv1-23
IGHV1OR15-1,Ighv1-47
IGHV1OR15-1,Ighv1-59
IGHV1OR15-1,Ighv1-58
IGHV1OR15-1,Ighv1-31
IGHV1OR15-1,Ighv1-50
IGHV1OR15-1,Ighv1-62-1
IGHV1OR15-1,Ighv1-55
IGHV1OR15-1,Ighv1-84
IGHV1OR15-1,Ighv1-54
IGHV1OR15-1,Ighv1-66
IGHV1OR15-1,Ighv1-34
IGHV1OR15-1,Ighv1-71
IGHV1OR15-1,Ighv1-43
IGHV1OR15-1,Ighv15-2
IGHV1OR15-1,Ighv1-53
IGHV1OR15-1,Ighv1-7
IGHV1OR15-1,Ighv1-56
IGHV1OR15-1,Ighv1-63
IGHV1OR15-1,Ighv1-69
IGHV1OR15-1,Ighv1-20
IGHV1OR15-1,Ighv1-61
IGHV1OR15-1,Ighv14-4
IGHV1OR15-1,Ighv1-77
IGHV1OR15-1,Ighv1-74
IGHV1OR15-1,Ighv1-62-3
IGHV1OR15-1,Ighv1-9
IGHV1OR15-1,Ighv14-2
IGHV1OR15-1,Ighv1-15
IGHV1OR15-1,Ighv14-1
IGHV1OR15-1,Ighv1-64
ENHO,Enho
TM9SF2,Tm9sf2
ITPR1,Itpr1
ATP10A,Atp10a
NOC2L,Noc2l
MAP1A,Map1a
IGHV4OR15-8,Ighv3-5
IGHV4OR15-8,Ighv3-6
IGHV4OR15-8,Ighv3-8
IGHV4OR15-8,Ighv3-4
IGHV4OR15-8,Ighv3-3
IGHV4OR15-8,Ighv12-3
IGHV4OR15-8,Ighv3-1
KL,Kl
ZNF512,Zfp512
SAMD11,Samd11
ECHDC3,Echdc3
SLC4A1AP,Slc4a1ap
CDH19,Cdh19
SUPT7L,Supt7l
A1CF,A1cf
CCDC121,Ccdc121
CCDC121,Gm6588
CCDC121,Gm6583
CCDC121,4930548H24Rik
ZNF414,Zfp414
GPN1,Gpn1
LRRC9,Lrrc9
LGALS3,Lgals3
WASHC2C,Washc2
RPS7,Rps7
STARD13,Stard13
ASAH2B,Asah2
SCN5A,Scn5a
TPTE,Tpte
TRMT1,Trmt1
LTBP2,Ltbp2
MEX3D,Mex3d
PSAP,Psap
TUSC1,Tusc1
FBLN2,Fbln2
AKR1C1,Akr1c20
AKR1C1,Akr1c18
AKR1C1,Akr1c12
AKR1C1,Akr1c13
AKR1C1,Akr1c19
AKR1C1,Akr1c14
AKR1C1,Akr1c21
AKR1C1,Akr1c6
AKR1C1,Akr1cl
ATP11A,Atp11a
TYK2,Tyk2
INO80C,Ino80c
DSEL,Dsel
TINAGL1,Tinagl1
DIO2,Dio2
MRPL39,Mrpl39
CHURC1,Churc1
PDPN,Pdpn
LRCH1,Lrch1
FNTB,Fntb
TEX10,Tex10
TEC,Tec
ACBD5,Acbd5
TLN1,Tln1
TLR7,Tlr7
RAB15,Rab15
SUCLG1,Suclg1
RNMT,Rnmt
TLR8,Tlr8
SPG21,Spg21
GPX2,Gpx2
MAX,Max
ADAMTS3,Adamts3
CCDC158,Ccdc158
GBA2,Gba2
APOO,Apoo-ps
APOO,Apoo
TMSB4X,Tmsb4x
SCTR,Sctr
INPP5B,Inpp5b
UQCR11,Uqcr11
LRRC25,Lrrc25
MBD3,Mbd3
DPYSL5,Dpysl5
TMEM87A,Tmem87a
IGHV3-33,Ighv5-17
IGHV3-33,Ighv5-6
IGHV3-33,Ighv5-9-1
IGHV3-33,Ighv5-12
IGHV3-33,Ighv5-9
IGHV3-33,Ighv5-16
IGHV3-33,Ighv5-15
IGHV3-33,Ighv5-4
ERAS,Eras
NAT8,Nat8f2
NAT8,Nat8f6
NAT8,Nat8f4
NAT8,Nat8f7
NAT8,Nat8f3
NAT8,Nat8f1
NAT8,Nat8f5
NAT8,Nat8
FAM210A,Fam210a
CREB3,Creb3
SERPINB1,Serpinb1c
SERPINB1,Serpinb1b
SERPINB1,Serpinb1a
IGHV4-34,Ighv3-5
IGHV4-34,Ighv3-6
IGHV4-34,Ighv3-8
IGHV4-34,Ighv3-4
IGHV4-34,Ighv3-3
IGHV4-34,Ighv12-3
IGHV4-34,Ighv3-1
PCSK1N,Pcsk1n
PROSER2,Proser2
FOXD4L6,Foxd4
NMU,Nmu
KDM1B,Kdm1b
APMAP,Apmap
NFATC1,Nfatc1
IGHV3-35,Ighv5-17
IGHV3-35,Ighv5-6
IGHV3-35,Ighv5-9-1
IGHV3-35,Ighv5-12
IGHV3-35,Ighv5-9
IGHV3-35,Ighv5-16
IGHV3-35,Ighv5-15
IGHV3-35,Ighv5-4
PRX,Prx
NACC1,Nacc1
DCTN5,Dctn5
CBWD7,Cbwd1
C2CD4C,C2cd4c
SHOC2,Shoc2
PIGK,Pigk
MAGEA9B,Magea1
MAGEA9B,Magea10
MAGEA9B,Magea8
MAGEA9B,Magea2
MAGEA9B,Magea6
MAGEA9B,3830417A13Rik
MAGEA9B,1700080O16Rik
MAGEA9B,Magea3
MAGEA9B,Magea5
MAGEA9B,Magea4
LRRC30,Lrrc30
IFI27L1,Ifi27
METAP1,Metap1
RPS19,Rps19
DCLK2,Dclk2
CAAP1,Caap1
FREM2,Frem2
MSANTD3-TMEFF1,Tmeff1
TMEFF1,Tmeff1
CLYBL,Clybl
DOCK11,Dock11
MAPRE3,Mapre3
TFAP2A,Tfap2a
FAM199X,Fam199x
BCAP31,Bcap31
MSANTD3,Msantd3
SLC6A1,Slc6a1
KCNK13,Kcnk13
HEMK1,Hemk1
FRMD4B,Frmd4b
OSGEPL1,Osgepl1
TTC4,Ttc4
MYL12A,Myl12a
PBX2,Pbx2
UBA2,Uba2
MED11,Med11
SNPH,Snph
IL17RD,Il17rd
CXCL16,Cxcl16
CHST3,Chst3
MROH7-TTC4,Mroh7
TPRKB,Tprkb
HRAS,Hras
RAD21L1,Rad21l
SEMA7A,Sema7a
